K,iterations,coherence,LL
14,50,0.04873924806990281,-8.95548
14,100,0.053281061561840606,-8.88007
14,150,0.049693786402207896,-8.86292
14,200,0.05372340637693688,-8.85201
14,250,0.05436143869645179,-8.84798
14,300,0.053671433074504254,-8.84559
14,350,0.055956034067338276,-8.84768
14,400,0.05359671054921615,-8.79384
14,450,0.05415120550305884,-8.81754
14,500,0.05360534860260282,-8.8274
14,550,0.054515387777024735,-8.83208
14,600,0.057698040366158145,-8.80709
14,650,0.06284114144212677,-8.8088
14,700,0.063458351202841,-8.81513
14,750,0.06212199649629223,-8.81693
14,800,0.06412436755283649,-8.79119
14,850,0.06554757854274447,-8.78234
14,900,0.06664922583060964,-8.78556
14,950,0.06652821064877658,-8.78749
14,1000,0.06671339019039457,-8.76286
14,1050,0.07002158051797748,-8.74801
14,1100,0.068940765755583,-8.75033
14,1150,0.06657814865763428,-8.75108
14,1200,0.06888594846521745,-8.72662
14,1250,0.07011856295234378,-8.70587
14,1300,0.06852383295534026,-8.70775
14,1350,0.06798721648235942,-8.70857
14,1400,0.06752993337866516,-8.68902
14,1450,0.06766192687856416,-8.66492
14,1500,0.06833089864679509,-8.66774
14,1550,0.06830590769187142,-8.66771
14,1600,0.0696992308578513,-8.64913
14,1650,0.07152957461726642,-8.62598
14,1700,0.07004365287077982,-8.62549
14,1750,0.07011260980651456,-8.62705
14,1800,0.07124391475375337,-8.61253
14,1850,0.07356845571937769,-8.58854
14,1900,0.07331007145342094,-8.59166
14,1950,0.0716837475583617,-8.59129
14,2000,0.07294574363768767,-8.57824
14,2050,0.07272581628883212,-8.55752
14,2100,0.07345365496981648,-8.55428
14,2150,0.07430752639014018,-8.5565
14,2200,0.07374137099940306,-8.54866
14,2250,0.07390180558663687,-8.52552
14,2300,0.07307058161862792,-8.52728
14,2350,0.0742124933805607,-8.52608
14,2400,0.07430009178233911,-8.51844
14,2450,0.07492126084568443,-8.4975
14,2500,0.07286027924586755,-8.49813
14,2550,0.07439753653113974,-8.4977
14,2600,0.07488683993173785,-8.49271
14,2650,0.07196513253728451,-8.4744
14,2700,0.07246910652794201,-8.47498
14,2750,0.07294587765855208,-8.47447
14,2800,0.07157537869853679,-8.47099
14,2850,0.0717808138147176,-8.45426
14,2900,0.07200968555373359,-8.45489
14,2950,0.07258677771060722,-8.45423
14,3000,0.07189558074838698,-8.45096
14,3050,0.07067833990500191,-8.43695
14,3100,0.07003710095737874,-8.43617
14,3150,0.0706623866993361,-8.43639
14,3200,0.06975744113335289,-8.4329
14,3250,0.0695393728928354,-8.42413
14,3300,0.06950981174616892,-8.42253
14,3350,0.07025879140447207,-8.42341
14,3400,0.06837437012345277,-8.42167
14,3450,0.06875199459678223,-8.41046
14,3500,0.06808404414683501,-8.41073
14,3550,0.06756076428350086,-8.41075
14,3600,0.06862559356257836,-8.4106
14,3650,0.06542217588232906,-8.40261
14,3700,0.06763550628419873,-8.40178
14,3750,0.06683791206358261,-8.40104
14,3800,0.06856677960959322,-8.40151
14,3850,0.067435855795728,-8.39549
14,3900,0.06802988074206602,-8.39374
14,3950,0.06820120042770478,-8.3922
14,4000,0.06931579787363693,-8.3933
14,4050,0.06721486804937352,-8.38867
14,4100,0.06545285625558157,-8.38942
14,4150,0.06647548644228221,-8.388
14,4200,0.06651744566111893,-8.38903
14,4250,0.06660892761421525,-8.38533
14,4300,0.06733051064772075,-8.38409
14,4350,0.06706021486512166,-8.38417
14,4400,0.06913053741504491,-8.38425
14,4450,0.06709775306353385,-8.37978
14,4500,0.06659014165630969,-8.38012
14,4550,0.06659149051357041,-8.38107
14,4600,0.06756551147986894,-8.3813
14,4650,0.06801955343636792,-8.37833
14,4700,0.06683187206747417,-8.37786
14,4750,0.0666810075790656,-8.37761
14,4800,0.06606184587689123,-8.37835
14,4850,0.06711546077637512,-8.37412
14,4900,0.06693129209102847,-8.37479
14,4950,0.06760678443678991,-8.37386
14,5000,0.06726419376251094,-8.37582
14,5050,0.06687097478744634,-8.37295
14,5100,0.06736845647598416,-8.3733
14,5150,0.06655147435871926,-8.37373
14,5200,0.06839678776695725,-8.37231
14,5250,0.06531630806478393,-8.37142
14,5300,0.06665559608507161,-8.3708
14,5350,0.06628971452269357,-8.37128
14,5400,0.06599695264706115,-8.3713
14,5450,0.06682998368644757,-8.37013
14,5500,0.06680507470810698,-8.36999
14,5550,0.06926718390883918,-8.37029
14,5600,0.0671047328944391,-8.37029
14,5650,0.06652534395169912,-8.37008
14,5700,0.06616504150237669,-8.3698
14,5750,0.06621564754432673,-8.36784
14,5800,0.06819494322702686,-8.3688
14,5850,0.06591528636890795,-8.3688
14,5900,0.06779385961176447,-8.36745
14,5950,0.06713328755815046,-8.36726
14,6000,0.06704787327666328,-8.36824
14,6050,0.06563959843379925,-8.36961
14,6100,0.06456866332610382,-8.36793
14,6150,0.06754217585602285,-8.36911
14,6200,0.0682091869512331,-8.36881
14,6250,0.06546596717826772,-8.36582
14,6300,0.06641174248207468,-8.36718
14,6350,0.06788487353441772,-8.36711
14,6400,0.06661675407305309,-8.36908
14,6450,0.06714170222214325,-8.3685
14,6500,0.0655269916814595,-8.36628
14,6550,0.06650466680527595,-8.36745
14,6600,0.06857526861809271,-8.36631
14,6650,0.06800669596680349,-8.36511
14,6700,0.0672427045323501,-8.36781
14,6750,0.06706667346998131,-8.3652
14,6800,0.0638219281661422,-8.36571
14,6850,0.06790006164902358,-8.36717
14,6900,0.06779068508404819,-8.3662
14,6950,0.06684280025890496,-8.36667
14,7000,0.0663875454042435,-8.36593
14,50,0.05161505532680982,-8.96215
14,100,0.05617368117871836,-8.87166
14,150,0.05531282513328172,-8.84787
14,200,0.05831776840113236,-8.83929
14,250,0.05827551428864381,-8.83461
14,300,0.05737749452251166,-8.83153
14,350,0.056403459956105774,-8.83202
14,400,0.058346818996105665,-8.78809
14,450,0.06178314544192845,-8.81143
14,500,0.06195172215611266,-8.81397
14,550,0.06347729065924736,-8.81226
14,600,0.06340103059654319,-8.7831
14,650,0.0653505843449887,-8.77678
14,700,0.06529709206953309,-8.77864
14,750,0.06581200317311879,-8.77964
14,800,0.06548783612232148,-8.75349
14,850,0.06991542172158263,-8.73951
14,900,0.0685149399009252,-8.74342
14,950,0.06821215686740734,-8.74767
14,1000,0.07027001832095767,-8.72324
14,1050,0.07186450428408996,-8.70643
14,1100,0.06899235657968578,-8.70838
14,1150,0.06961042133538543,-8.70901
14,1200,0.07041908962779356,-8.68893
14,1250,0.0723557566954357,-8.67004
14,1300,0.07154466257629523,-8.67225
14,1350,0.07071660915194576,-8.673
14,1400,0.07317325153850548,-8.65505
14,1450,0.07348190024019685,-8.63612
14,1500,0.07612383073422245,-8.63897
14,1550,0.07644844236573287,-8.63992
14,1600,0.07574566859525723,-8.62359
14,1650,0.0763911538927399,-8.60382
14,1700,0.07521012937289775,-8.60596
14,1750,0.07569980393349028,-8.60836
14,1800,0.07473828328208154,-8.5933
14,1850,0.07735101558349194,-8.57599
14,1900,0.07510696598718451,-8.57881
14,1950,0.07763322253299465,-8.57951
14,2000,0.07651867847023167,-8.56822
14,2050,0.076423284757627,-8.55602
14,2100,0.07519335400611721,-8.55607
14,2150,0.07508521384964124,-8.55567
14,2200,0.07525864420434558,-8.54634
14,2250,0.0758436873954708,-8.53459
14,2300,0.07327657295742122,-8.53409
14,2350,0.07619159956876088,-8.53534
14,2400,0.07444426197323778,-8.52974
14,2450,0.0753150482312897,-8.51958
14,2500,0.07448841698183518,-8.51851
14,2550,0.0742126851581416,-8.52109
14,2600,0.07466601922934266,-8.51556
14,2650,0.07435261616207467,-8.50565
14,2700,0.07431870244379002,-8.50638
14,2750,0.07459324387980848,-8.50644
14,2800,0.07391013223571392,-8.5031
14,2850,0.0744520446074059,-8.49378
14,2900,0.07313529693792668,-8.49149
14,2950,0.07461575647065052,-8.49231
14,3000,0.07554358503024014,-8.49092
14,3050,0.07481067294933871,-8.48257
14,3100,0.07305875229534241,-8.48256
14,3150,0.07299281958358317,-8.48182
14,3200,0.0739021427384606,-8.48348
14,3250,0.07374094145962079,-8.47379
14,3300,0.07418830416857719,-8.47375
14,3350,0.07332341028372233,-8.47562
14,3400,0.07352647014942688,-8.47456
14,3450,0.07403358193732039,-8.46966
14,3500,0.07298582604667811,-8.46694
14,3550,0.07171078233451461,-8.46979
14,3600,0.07227747382997006,-8.46647
14,3650,0.0722253865289094,-8.46376
14,3700,0.0719146530977505,-8.46327
14,3750,0.07204990108277674,-8.46248
14,3800,0.07242387670779626,-8.46321
14,3850,0.07296717787865012,-8.45801
14,3900,0.07265128735253612,-8.45696
14,3950,0.07313545056092012,-8.45902
14,4000,0.0725933888902968,-8.45706
14,4050,0.0708706697716098,-8.45378
14,4100,0.07190096833329415,-8.45338
14,4150,0.07122299485328835,-8.45324
14,4200,0.0730612464207654,-8.45388
14,4250,0.07123536654299824,-8.44964
14,4300,0.07172363906690758,-8.44957
14,4350,0.07283923078225431,-8.45092
14,4400,0.07203360837715388,-8.45083
14,4450,0.07199213653279517,-8.44662
14,4500,0.07265588455949566,-8.44727
14,4550,0.07129248559904305,-8.44753
14,4600,0.0717728211021398,-8.44719
14,4650,0.07226659509708228,-8.44595
14,4700,0.07143344098984247,-8.44475
14,4750,0.07166530535912942,-8.44393
14,4800,0.07289658714377412,-8.44588
14,4850,0.07230807305810459,-8.44188
14,4900,0.07202075015325494,-8.44282
14,4950,0.07278483837914954,-8.44187
14,5000,0.07344974002737023,-8.442
14,5050,0.07088041550035563,-8.4411
14,5100,0.07219296217842842,-8.44194
14,5150,0.07206375288842846,-8.44043
14,5200,0.07236828546282073,-8.44086
14,5250,0.07290629621034564,-8.43879
14,5300,0.07149730930715013,-8.44005
14,5350,0.07091036001586,-8.43999
14,5400,0.0722402112016585,-8.43875
14,5450,0.07111555789157534,-8.44009
14,5500,0.07214875602180568,-8.43883
14,5550,0.07212498162297672,-8.43952
14,5600,0.07207559859056306,-8.43756
14,5650,0.07144773562681862,-8.43792
14,5700,0.0715135054835622,-8.43879
14,5750,0.07175666056196787,-8.437
14,5800,0.07151648938562902,-8.43883
14,5850,0.0720739808645129,-8.43678
14,5900,0.07071519349567074,-8.43702
14,5950,0.07127003705025693,-8.43744
14,6000,0.07237636984902111,-8.43631
14,6050,0.07128247434314744,-8.43586
14,6100,0.07061002890729762,-8.4357
14,6150,0.07113410902230093,-8.43771
14,6200,0.07163532103779807,-8.43647
14,6250,0.07237151034587322,-8.43501
14,6300,0.0712535586669571,-8.4366
14,6350,0.07164850670915547,-8.43574
14,6400,0.07223435387519776,-8.43592
14,6450,0.07181536053716586,-8.43616
14,6500,0.07149185571230032,-8.43446
14,6550,0.07142081772317038,-8.43525
14,6600,0.0715433134636952,-8.43499
14,6650,0.0717062985818979,-8.43476
14,6700,0.07320371373461113,-8.43557
14,6750,0.07176206890676914,-8.43606
14,6800,0.07220064555693832,-8.43475
14,6850,0.07109801984633494,-8.43328
14,6900,0.07159927920841845,-8.43425
14,6950,0.07087290628287972,-8.43573
14,7000,0.07361754072842111,-8.4342
14,50,0.05543307713020625,-8.96257
14,100,0.058709615557269855,-8.88976
14,150,0.05674304852613912,-8.87398
14,200,0.058666208227854705,-8.87113
14,250,0.05748501600431794,-8.86843
14,300,0.0565467027938909,-8.86751
14,350,0.05732821055151814,-8.86828
14,400,0.05833352746071535,-8.82616
14,450,0.05967397500491794,-8.85466
14,500,0.06071813111919782,-8.86042
14,550,0.061220152193698064,-8.86772
14,600,0.060518477147028106,-8.84037
14,650,0.06580603890274926,-8.84115
14,700,0.06848643028228882,-8.84653
14,750,0.06501156831820118,-8.84924
14,800,0.0646120746869391,-8.82249
14,850,0.06921573517562547,-8.81041
14,900,0.07129731441598097,-8.81131
14,950,0.06978767350591726,-8.8158
14,1000,0.07063085787940178,-8.79053
14,1050,0.07383462562197247,-8.77163
14,1100,0.07486080503079261,-8.77346
14,1150,0.0736967561896962,-8.77527
14,1200,0.07484805542653661,-8.75246
