,n_topics,npmi_average
0,5,0.06406720015564482
1,6,0.056976649385643355
2,7,0.04139441573978868
3,8,0.05074419357595546
4,9,0.031919316304702613
5,10,0.07042707152838262
6,11,0.07997968964808794
7,12,0.07726025114269978
8,13,0.06510707459278106
9,14,0.07827099653976319
10,15,0.08149428061371417
11,16,0.0785564323782104
12,17,0.08628534335936547
13,18,0.09753820212468733
14,19,0.09845728092678042
15,20,0.09145597581054636
16,21,0.11214896324372972
17,22,0.09567386856153103
18,23,0.09170953064071313
19,24,0.09183047369940772
20,25,0.10845502780783042
21,26,0.11236651675264937
22,27,0.11659087545567205
23,28,0.1313604283357584
24,29,0.13441985842173398
25,30,0.11436161546443363
26,31,0.13845133285788827
27,32,0.12206505051949446
28,33,
29,34,
30,35,
31,36,
32,37,
33,38,
34,39,
35,40,
