,n_topics,npmi_average
0,5,0.0558487381594902
1,6,0.04965148178829139
2,7,0.034759812692177136
3,8,0.037999478265808885
4,9,0.046348700795833
5,10,0.03854241432566817
6,11,0.04935593601326447
7,12,0.05719622637580986
8,13,0.05266313320374503
9,14,0.06917732623000392
10,15,0.07530261591712747
11,16,0.06066161453482573
12,17,0.07189688365501586
13,18,0.07686836907562924
14,19,0.08298630903830595
15,20,0.0935680926675108
16,21,0.08468194842919455
17,22,0.09077673678472664
18,23,0.09635693106889287
19,24,0.09038573471462319
20,25,0.07788311656492541
21,26,0.09382827426729164
22,27,0.1007068657091288
23,28,0.10911012803908893
24,29,0.09966448948121437
25,30,0.0914027710234766
