,n_topics,npmi_average
0,5,0.06914835478440286
1,6,0.06831165783936995
2,7,0.07938693126937367
3,8,0.06817616402179205
4,9,0.07108092034094213
5,10,0.07423352770329508
6,11,0.062219529465780195
7,12,0.06305920067220061
8,13,0.06833212674881939
9,14,0.06735226927717385
10,15,0.06614351551963094
11,16,0.06928602627308356
12,17,0.07082786360822552
13,18,0.07071780355746354
14,19,0.06862156450664007
15,20,0.07148036485896035
16,21,0.07426221071879202
17,22,0.06874894616572344
18,23,0.06759975752436576
19,24,0.06536538360004963
20,25,0.06645329785682572
21,26,0.06497569770144099
22,27,0.06915980109817277
23,28,0.06654679853888296
24,29,0.06996558539215866
