,n_topics,npmi_average
0,5,0.06791999688275115
1,6,0.0813603729492395
2,7,0.06792832158191672
3,8,0.07640111162544629
4,9,0.07443287796945403
5,10,0.0702540879604084
6,11,0.07167538823538153
7,12,0.06520697645440648
8,13,0.08229662858808365
9,14,0.0765261962157503
10,15,0.072074592029316
11,16,0.06747293369541713
12,17,0.0670293493219093
13,18,0.07273707418725672
14,19,0.06850931108875162
15,20,0.06627498034185311
16,21,0.06730350660239992
17,22,0.06790258373092181
18,23,0.0710915463491174
19,24,0.06996043385257687
20,25,0.06867610637805409
21,26,0.07612333914407597
22,27,0.06899096735449806
23,28,0.0679789839205918
24,29,0.07272613401345025
25,30,0.07319162088891548
