,top_terms,npmi
0,take self hard lot better years feeling best trying keep okay care thing enough person world everything past sometimes help days try look new someone hope else come able year find maybe mind remember feels little everyone live around change worth happy different thought give mean may might long tell,0.05042050972393153
1,eating food eat body weight disorder healthy recovery calories foods health diet binge bad ed meals ate brain without gain actually less exercise hungry lose needs fat enjoy full hunger normal meal culture control stop loss number energy etc freedom disordered guilt instead yes bodies used disorders unhealthy balance lost,0.1461027376540409
2,home morning last days night happy went work little bed run hours first weekend sleep getting long since feeling school yesterday house family friends rest take weeks fun tomorrow walk though taking baby evening hour coffee water ready new next away around bit took great minutes later busy running afternoon,0.07029896241304284
3,baby white babies foster old child children family god girl black world parents kids girls women sister care mother birth song pain young privilege music mom daughter monster fostering name man yes born age live light contact uk death months must racism daughters race men red dirty mothers stand due,0.07640540329533083
4,guys new video first year definitely holly ever vegan best happy yes vlog thank last please friends date bit hope fun solo big live full ok pretty lot next amazing ps youtube uk food enjoy photo find super sure try home yesterday coming honestly come running oh literally story soon,0.024844188758114533
5,cream food cheese eat sweet meal ice pizza vegan dinner bread lunch bowl eggs avocado eating rice potato sauce pasta veggies breakfast favorite toast egg sandwich slice meals roasted delicious oil plate foods salad whole cook chicken cooked best tofu top free cooking super fried slices spinach try simple baked,0.17976722075679022
6,work plant based yoga purpose help share health start bio actually vegan use link nutrition practice favorite women learn big send program dm coaching free live started dream support month sure products stories full check living post read ready money heart book questions wellness reading sharing skin wanted excited daily,0.01239325227262009
7,cup chocolate tbsp butter add flour ingredients mix powder #glutenfree bake #healthyfood vanilla batter coconut minutes salt pinch #healthy set #foodie #foodblogger #healthyinspo #healthylife #healthymeals recipe baking sea vegan peanut bowl pan #plantpower loaf almond maple sugar syrup cookie oil chips blend #foodgrams milk #thefeedfeed oven #chocolate dough dry #wellness,0.1283557490919533
8,protein oats chocolate milk butter almond bowl frozen seeds topped smoothie yogurt morning cacao banana code breakfast peanut vanilla coconut chia powder free blueberries overnight cup syrup pumpkin maple tbsp cinnamon granola recipe nibs mix use oatmeal greek add usa pancakes macrmike apple maca nuzest pb rice strawberries water snack,0.1478960207062956
9,recovery shit fucking ed ur fuck gonna lol bc literally ass wanna hate ever idk sick pro blog money sorry gotta post someone ill stop actually please ppl rly nothing art guess skinny anymore bitch lmao give ana already tumblr #plantbased anyone #nature die cool #girl #vegan #veganfood thank posts,0.05618347716775402
10,eating support alliance disorders please help recovery #edrecovery disorder #notonemore #allianceforeda national com #recovery link call community awareness individuals mental visit #mentalhealth free #yourpathtorecovery allianceforeatingdisorders thank health hope groups struggling #findedhelp conversation bio #eatingdisorderrecovery resources #eatingdisorders #recoveryispossible loved #eatingdisorder care join watch alone led services reach #quoteoftheweek register head virtual,0.045528260392009884
11,inpatient school hospital treatment trauma friends bad uk giveaway staff friend pretty covid self unit social groups tag allowed team bc enter great vaccine patients winner follow state different schools nice system rules worse group doctor lockdown news harm post lot symptoms sure health anxious meeting stay give closed okay,0.03772784064889001
12,#glutenfree #healthy #foodie #healthyfood #foodblogger #wellness #healthyinspo #healthylife #plantpower #healthymeals #fitness #cleaneats #thenewhealth #paleo add salt #grainfree bowl sea #foodgrams roasted #mbg oil minutes #whatveganseat #thefeedfeed cup cook olive #vegan garlic #vegans water vegan powder hummus diced kale recipe #plantbased curry sweet #vegetarian used avocado onion cauliflower red hope squash,0.06101009118742355
13,therapy session bit therapist talk felt ok maybe last talking end trying thing hard thought lot asked able keep try tell though might years quite away feeling told sometimes mum better parents yes feels help brain first part enough hope stuff started wanted come next work find sure talked year,0.07192542959142499
14,body look photos real skin happy bodies self image monday comments wear beautiful someone healthy change beauty looks start online size different post photo thing enough thoughts positive cellulite less #bodyimage media mirror else live wearing appearance leave please #selflove ever mind negative around hope fit comfortable kind first legs,0.024324062306843974
