,top_terms,npmi
0,#glutenfree #wellness #healthy #foodie #foodblogger #healthyfood #healthyinspo #healthylife #fitness #plantpower #healthymeals #cleaneats #thenewhealth #paleo roasted salt #grainfree add sea oil bowl #foodgrams #mbg #whatveganseat #thefeedfeed minutes olive cook garlic #vegan #vegans cup hummus powder diced water kale recipe curry sweet vegan avocado #plantbased red #vegetarian onion squash maple soft potato,0.0868595659030352
1,thank school family hope different read post years social everyone help book sure health use friends anyone white share lot etc thanks reading questions check follow money world group parents advice blog send care age new looking wanted positive case name message try non information called online great kids whole,0.014207007836655045
2,therapy session therapist bit talk felt talking maybe last end asked thing thought baby tell quite away trying able mum hard brain told though yes feels stuff might parents child talked next try feeling part thankyou minutes difficult keep started relationship sometimes done year years head feelings cake work conversation,0.07704234596043916
3,support eating disorders alliance please help recovery #edrecovery disorder #notonemore #allianceforeda mental national #recovery link com individuals awareness call visit community free #mentalhealth health #yourpathtorecovery struggling allianceforeatingdisorders resources hope thank groups conversation bio #findedhelp #eatingdisorderrecovery loved #eatingdisorders #recoveryispossible join #eatingdisorder care alone reach led register watch services give #quoteoftheweek head,0.05785911195276212
4,eating food eat weight recovery body disorder healthy calories foods binge diet health ate lot bad without meals gain hungry lose better control trying needs hunger culture less stop meal full normal brain enough number recover fat actually exercise loss guilt thing sometimes keep okay matter disordered yes pro though,0.14242164441588134
5,vegan food free cream ice plant coffee based favorite use protein code enjoy pizza holiday #ad drink tag cake order post try recipes giveaway shopping chocolate delicious using give products share cooking fun meals new link grocery easy macrmike local season shop drinking follow meal christmas dessert cookies water dairy,0.08308117993320589
6,shit fucking fuck gonna lol ever hate literally ass someone try take wanna care keep help anyone idk trying anything sick art stop ill give brain sorry actually gotta anymore nothing put getting hard tell work guess enough everything look money cool god ppl wish thing alone rly already else,0.13360621376036208
7,days home last work feeling night morning better getting okay hard bed lot went friends sleep bad taking hours rest long little take pretty great school weekend first weeks working felt though trying friend took break yoga tomorrow best spent couple able room since inpatient yesterday past hour nice keep,0.05063148543310525
8,self world work hard change live may best help living worth sometimes learn purpose journey past lot care healing thoughts take feelings maybe feels mean years fear thought control choose believe start thing enough place come meant ways space true person better find truly big peace relationship keep everything times,0.03184819738762857
9,body look real bodies photos skin image healthy change happy self comments monday different beauty someone looks size beautiful wear health workout lifestyle online mirror start changes post appearance enough thoughts less please media positive fat thing live weight negative fit bad ever mind cellulite leave instead else #bodyimage used,0.03463753112073054
10,happy year new take grateful little hope remember best reminder full joy date beautiful heart else years share happiness ever moments feeling person world someone solo give kind come small find friends important first enjoy thing fun instagram dream past moment care perfect whatever mind around forget social content alone,0.05089912291393623
11,cup chocolate tbsp butter add mix flour ingredients powder vanilla bake coconut #glutenfree maple salt syrup #healthyfood minutes set pinch batter recipe #healthy #foodie baking sea peanut #foodblogger #healthyinspo #healthylife almond #healthymeals vegan pan bowl loaf sugar #plantpower cookie blend milk oil oven chips pumpkin cinnamon smooth dough #chocolate banana,0.12288214291325902
12,guys video run home running new first bit definitely last went holly baby year big ever yes vlog evening yesterday next please pretty live house christmas coming friends favourite little done soon actually best quite super tomorrow hope days literally course anyway lovely around lot may full long stay sure,0.038603676083904304
13,#vegan #veganfood #plantbased #nature #fitness #girl #raw #healthy #carbs #compassion #crueltyfree #carbthefuckup #freelee #freeleethebananagirl #hclf #lowfat #rawtil #rt #veganfitness #veganism #edrecovery #love #bananagirl #foodshare #vegangains #veganpower #ctfu #fruitbats #highcarblowfat veganism #vegansofig #photography #healthynotskinny vegan #strongnotskinny #bananagirldiet #frugitarian #frugivore #fruitaddict #gofruityourself acne woo planet animals circus animal fashion important eat emojis,0.19587984289936922
14,bowl breakfast oats topped protein milk butter morning almond frozen cheese meal sweet lunch eat seeds rice smoothie chocolate banana avocado dinner bread egg cacao peanut chia eggs plate potato pasta toast sauce apple yogurt veggies coconut blueberries fruit granola half snack cooked pancakes recipe used oatmeal cinnamon vanilla cream,0.10536885221190642
