iterations,top_n,coherence,LL
50,5,0.08580432179459317,-9.03463
100,5,0.09716600777544011,-8.88493
150,5,0.1122676463115894,-8.837
200,5,0.1207010198768964,-8.79717
250,5,0.12080101313373097,-8.74579
300,5,0.12413787472226777,-8.62974
350,5,0.13044446436339255,-8.55515
400,5,0.12879009835048422,-8.519
450,5,0.13205802403906958,-8.49088
500,5,0.13198757131845706,-8.46451
550,5,0.13368037136059197,-8.45042
600,5,0.13619162148116937,-8.43454
650,5,0.13680132657382876,-8.42311
700,5,0.1353196809970423,-8.4165
750,5,0.13799210239640927,-8.40659
800,5,0.13839394414202058,-8.39772
850,5,0.13781286331171627,-8.39121
900,5,0.14044597842046963,-8.38641
950,5,0.1434180677683966,-8.38054
1000,5,0.14606418313896546,-8.37982
1050,5,0.14580192500293052,-8.37443
1100,5,0.14752400555250986,-8.37143
1150,5,0.14292557964753924,-8.36656
1200,5,0.1434060294791421,-8.36472
1250,5,0.1434541201586684,-8.36432
1300,5,0.14620935742858407,-8.36101
1350,5,0.14274315704803786,-8.3626
1400,5,0.1424204821935104,-8.36197
1450,5,0.14444037980745852,-8.35519
1500,5,0.1432660789722362,-8.35499
1550,5,0.14555697443631577,-8.3504
1600,5,0.148768964733165,-8.35674
1650,5,0.1429640232013572,-8.35019
1700,5,0.14212156566476794,-8.34983
1750,5,0.14621988219521784,-8.34397
1800,5,0.14616357958969017,-8.3426
1850,5,0.1458325769049753,-8.34394
1900,5,0.14475320774914854,-8.34484
1950,5,0.14825019471018208,-8.34986
2000,5,0.14506515989317098,-8.34597
2050,5,0.14355640750043722,-8.34192
2100,5,0.14522004058397353,-8.34357
2150,5,0.1464647546701914,-8.3388
2200,5,0.14402276446171863,-8.33807
2250,5,0.14344011441487722,-8.33603
2300,5,0.14326168542950807,-8.33825
2350,5,0.1448147165258954,-8.34104
2400,5,0.14264590967099763,-8.34112
2450,5,0.14358043277869542,-8.34039
2500,5,0.14014912731709336,-8.34018
2550,5,0.14336898299016043,-8.34059
2600,5,0.14604451406256316,-8.3416
2650,5,0.14142636166401218,-8.33507
2700,5,0.1426632345016537,-8.33273
2750,5,0.14208312550513913,-8.33677
2800,5,0.1443174950683227,-8.34019
2850,5,0.1434633472942926,-8.33552
2900,5,0.14359061282219865,-8.3359
