,n_topics,npmi_average
0,5,0.07882471388627724
1,6,0.07207757639174543
2,7,0.05816668644948546
3,8,0.04489825226903589
4,9,0.02770762755453715
5,10,0.03451951574449128
6,11,0.028344686660674162
7,12,0.04203175339377983
8,13,0.046634142918616006
9,14,0.06375817701504337
10,15,0.03433813249110418
11,16,0.041486395657838675
12,17,0.040864844263319905
13,18,0.06857706085544252
14,19,0.06722340564709336
15,20,0.06725730604458391
16,21,0.05930187631093908
17,22,0.07763910013199794
18,23,0.07875387540282097
19,24,0.07889005885530675
20,25,0.0990350586237542
21,26,0.09164926484359144
22,27,0.08445403282362274
23,28,0.12126054829991192
24,29,0.10013438002104985
25,30,0.11864059766793694
26,31,0.11781305927498188
27,32,0.11922543593014265
28,33,0.1066364695987449
29,34,0.10590050954750474
30,35,0.11461861376168471
31,36,0.12605939818547562
32,37,0.12705193072019122
33,38,0.11485498569245386
34,39,0.12148746604264177
35,40,0.13780295989982305
