,n_topics,npmi_average
0,5,0.13598175198836462
1,6,0.08462799698618603
2,7,0.0804345582753077
3,8,0.07518304465398165
4,9,0.07673818528116377
5,10,0.06559891790460687
6,11,0.05872480416744723
7,12,0.0694573567393842
8,13,0.05905988079403124
9,14,0.08186252311592258
10,15,0.08566282068972972
11,16,0.07476562035916218
12,17,0.07807198907844089
13,18,0.07296779801336059
14,19,0.08735844285806393
15,20,0.09093991211169197
16,21,0.10475559075485713
17,22,0.0855465766993507
18,23,0.09872749090136468
19,24,0.11290998335492981
20,25,0.11424334706776165
21,26,0.10118137197439818
22,27,0.11233348957477854
23,28,0.1006226820270108
24,29,0.09644489181071914
25,30,
