,n_topics,npmi_average
0,5,-0.06544432087677143
1,6,-0.09593535310600354
2,7,-0.14376764755356775
3,8,-0.0909971416746827
4,9,-0.08971193439601624
5,10,-0.0933281125337223
6,11,-0.030264655723333273
7,12,-0.055974258270990604
8,13,-0.036204510753920845
9,14,-0.07270323000133205
10,15,-0.08724972938459896
11,16,-0.08209482308432062
12,17,-0.12412241368981497
13,18,-0.12455533518250142
14,19,-0.14880506805491753
15,20,-0.11823890388451944
16,21,-0.10830316058355208
17,22,-0.1008544682993836
18,23,-0.10683009533181533
19,24,-0.10523075574053202
20,25,-0.06924534452649556
21,26,-0.09193374919527955
22,27,-0.09316981633739024
23,28,-0.1137963307680859
24,29,-0.05988541871258234
25,30,-0.11678261854490846
