,n_topics,npmi_average
0,5,-0.09285904657243477
1,6,-0.09280899427848655
2,7,-0.0842190447456998
3,8,-0.10748824845109267
4,9,-0.06467840299107111
5,10,-0.09726567762422
6,11,-0.10581785539196287
7,12,-0.06687596534777858
8,13,-0.08556614098590351
9,14,-0.0996589254805823
10,15,-0.11776890401376182
11,16,-0.0518432375272823
12,17,-0.0832678848631152
13,18,-0.08803327118079671
14,19,-0.09493568742192976
15,20,-0.06441402368817883
16,21,-0.10559484511445527
17,22,-0.03679246284754444
18,23,-0.06982896492285137
19,24,-0.08243540397205898
20,25,-0.1316739417733211
21,26,-0.0767479975128322
22,27,-0.12973575713123767
23,28,-0.07496295030707065
24,29,-0.04868560603825699
25,30,-0.0964765747183709
