,n_topics,npmi_average
0,5,-0.018596418104465297
1,6,-0.002276454921400898
2,7,-0.01578147296770429
3,8,-0.016885230604630055
4,9,0.0036636814486483943
5,10,0.004494409677614858
6,11,-0.00798141956458642
7,12,0.010123413322333494
8,13,-0.013745144236747862
9,14,-0.0018001058686370579
10,15,0.015665851042983448
11,16,-0.0019696715333173136
12,17,-0.014692443362979295
13,18,-0.003781244497332822
14,19,0.005717347142374802
15,20,0.006204197707909972
16,21,-0.004452995630381926
17,22,0.0029838151707985683
18,23,-0.03220891833273405
19,24,-0.00843087210048207
20,25,-0.00789655234949956
21,26,-0.03779819599165594
22,27,-0.02385595503643618
23,28,-0.041964797013448525
24,29,-0.015460135941877298
25,30,-0.06078007561507388
