,n_topics,npmi_average
0,5,-0.07077792291818397
1,6,-0.06804792440519287
2,7,-0.07993017805121441
3,8,-0.0627997228287088
4,9,-0.06067868821571247
5,10,-0.06874789390716006
6,11,-0.040631448509444085
7,12,-0.05112390502847863
8,13,-0.043767218491261486
9,14,-0.0410865805131563
10,15,-0.03286126019682308
11,16,-0.03206690920538846
12,17,-0.027792324623312985
13,18,-0.03426997552778422
14,19,-0.02493869516342454
15,20,-0.005357638291837519
16,21,-0.022263173903659884
17,22,-0.018604039184594082
18,23,-0.02131250631803459
19,24,-0.01870407620957432
20,25,-0.012979834064183082
21,26,-0.011555961050316262
22,27,0.00089239065549829
23,28,-0.012214827517116479
24,29,-0.009301807696970678
25,30,-0.014989436967495868
