,corpus,topicID,technique,Input.topn,Input.doc1,Input.doc2,Input.doc3,Input.doc4,Input.doc5,biased,coherence,consensus,contentious,expected,insightful,meaningful,offensive,preferable,sensible,specificity,uncanny,unpredictable,confusing,bestlabel,familiarity,suitable,objectionable,consensus_factor,NPMI_3,NPMI_6,NPMI
0,ap,6,TopN,"chrysler, corp, cars, auto, ford, president"," ``Combs was asked to resign,'' Terex spokesman Jeff Zilka said, but declined further comment.  The last of the former Fruehauf's assets, Kelsey-Hayes Co. , maker of auto parts such as aluminum wheels and anti-lock braking systems, was sold to Canada's Varity Corp.  last November.  Fruehauf Trailer employs about 5,100 people in its U."," on Tuesday named Thomas Stallkamp chairman and Forest Farmer president of its Acustar Inc.  parts subsidiary.  Stallkamp assumes the title previously held by Bob Lutz, chairman of Acustar and of Chrysler Motors, the automaking arm of Chrysler Corp.  Lutz remains chairman of Chrysler Motors and a member of the corporation's board.  Stallkamp joined Chrysler Motors in 1980 as a general purchasing agent and moved to Acustar last June as vice president for marketing and procurement."," Encyclopaedia Britannica Inc. , said Thursday that a Taiwan court has found a book company in that country and two of its officials guilty of pirating Britannica's published works.  In a statement, the Chicago-based Britannica said the Criminal Division of the Taipei District Court returned guilty verdicts Tuesday against the Tan Ching Book Company, its president, Tu Chich-hsiang and its chairman, Chang Yu-ping, for pirating the 10-volume Concise Encyclopaedia Britannica.  The CEB, first published in Beijing, is a condensed Chinese translation of Britannica's Micropaedia, the ready-reference section of Encyclopaedia Britannica's 15th Edition, the company said.  Tu and Chang each was sentenced to one year in prison and fined, Britannica said.","8 percent from the same period a year earlier and domestic light truck sales were down 2. 7 percent.  The eight companies that build passenger vehicles in the United States sold 198,647 domestic cars and 112,945 domestic light trucks in early June, down from 208,699 cars and 116,000 trucks a year earlier.  Industry analysts said sales were higher in early June 1987 because a new round of buyer incentives had just been launched.  They noted that 1988 spring sales have held steady and consumer confidence remains strong."," It was announced just one day before the company closes a Detroit plant and puts 1,700 other workers on indefinite layoff.  The move angered United Auto Workers officials.  ``Workers and their unions don't design the cars or develop the marketing plans,'' UAW President Owen Bieber and Vice President Stan Marshall, head of the union's Chrysler department, said in a statement.  ``Senior management calls those shots, but when they miscalculate or screw up, they all stay in place while the workers are told to hit the street,'' they said.  Chrysler spokesman Doug Nicoll said the timing of the St.",47.0,48.2,67.6,40.4,38.6,48.8,55.4,19.8,39.4,62.2,61.0,31.8,53.2,45.6,,22.8,217.1336701946114,132.2131672250215,33.56899085709932,0.1564226127418182,0.11841671668191107,0.13741966471186465
1,ap,11,TopN,"abortion, souter, aspirin, dresses, women, abortions"," Valentino, who has shown luxury ready-to-wear for 10 years in Paris, has finally abandoned Italy as a showcase, choosing a Trocadero museum auditorium for his second Paris couture show.  On Wednesday night, he brought out a dazzling show of glamorous clothes for rich women, the outfits looking particularly light and young.  He led off and ended with swingy, short clothes in his original signature color of white, suits cut with longer jackets and short skirts, waves of accordion pleats around for dancing skirts.  Otherwise, Valentino spiced the show with lots of his favorite hot reds and soft tones like celdadon, wisteria, peach and silvery gray in the softest of fabrics like cashmere, silk crepe and acres of flounced chiffon _ a Paris must for couture.  Valentino used a lot of tricky latticework in his late-day toppers and the sumptuous evening wear included all kinds of elaborate draping, pleated transparent capes, sequined pastille embroideries on chiffon, and tiers of lace."," Ann Lawrence Antiques in New York, for example, stocks more than 500 antique dresses and new dresses constructed of antique materials.  Lawrence says she sells dresses priced from $500 to $15,000 to brides all over the country.  To find antique bridal dresses, she advises contacting the curator of a museum costume collection or a local antiques dealers' association, who would be likely to know costume specialists who handle these dresses.  It's often hard to tell how much a dress might have cost.  Bride's Magazine says the average price paid for a bridal dress is $794."," The crowd gave Yves Saint Laurent a standing ovation for his colorful couture show on Wednesday, which featured his flawless tailoring and technique, and his daring use of color.  It's hard to imagine anybody else sustaining such interest through a series of 25 tuxedo suits.  Each one was perfection, whether with short skirts, long skirts, long pants, spencers or long jackets with white satin wing lapels or black kimono lapels.  The sparkly vineyard embroideries with bunches of grapes plastered onto bolero jackets and necklines of satin cocktail suits and evening gowns nearly brought the house down.  The show in the Intercontinental Hotel ballroom attracted celebrity clients including first lady Danielle Mitterrand, Paloma Picasso, film star Catherine Deneuve and American socialite Lynn Wyatt."," The manufacture of the chewable orange tablets ended in December 1986 as Shering Plough Corp.  of Madison focuses on chewable low-dosage aspirin products for adults concerned about preventing heart disease.  Aspirin-free pain relievers and name-brand aspirin products competed with each other until the American Academy of Pediatrics, in a report in 1982, said giving aspirin to children suffering from chicken pox and influenza increased the risk of contracting Reye's syndrome.  The illness is fatal in about 20 percent to 30 percent of the cases, and some survivors suffer permanent brain damage.  The government in 1986 ordered warning labels on all aspirin bottles about the risk to children and teen-agers of contracting Reye's syndrome."," ``If we lose this one, we'll never get it back,'' said Eleanor Smeal, president of the Feminist Majority, who is lobbying the Senate to reject the nominee.  Smeal said she had read all 200 of Souter's legal opinions and believes he would work to cut off women's access to birth control and abortion.  Molly Yard, president of the National Organization for Women, said Souter revealed his opposition to abortion by calling it the ``killing of unborn children. '' ``That's the language of the right wing,'' Yard said.  Souter did not use the words during the Senate Judiciary Committee hearings this week, but while New Hampshire attorney general he signed a brief that contained the language.",25.4,61.4,62.4,34.0,64.6,47.8,65.6,28.2,55.0,67.0,37.0,32.6,35.0,48.4,,30.4,263.2086020165408,104.5584484659975,30.986760791168557,-0.10959853565524334,0.00264480744565219,-0.053476864104795574
2,ap,17,TopN,"percent, vote, election, voters, poll, votes"," In Budapest, the opposition Alliance of Free Democrats won a plurality of votes in the first round of municipal elections Sept.  30 and was leading in Sunday's second round.  The liberal Free Democrats led with 36 percent of the vote in Budapest, with about 17 percent of the ballots counted, state-run television reported.  The Hungarian Democratic Forum, the strongest force in Parliament, had about 25 percent.  The results in Budapest and other urban centers are seen as a test for the center-right coalition government of Jozsef Antall, six months after national elections."," The Post survey, done June 15-19, found a 51-39 percent Dukakis margin.  The ABC-Money Magazine poll, conducted June 22-25, found support for Dukakis down 7 points from an ABC-Post poll in mid-May that used the same methodology.  Bush rose only from 41 to 42 percent support; those who didn't know grew from 2 percent to 6 percent.  The rest said they wouldn't vote or would support someone else.  Poll analysts have said they expected the race to tighten as Dukakis came off the crest of his Democratic primary victories."," Those with a favorable view rose 9 points to 52.  The national survey found a rise in unfavorable views of Bush, who was roundly criticized by convention speakers this week.  His favorable rating fell from 49 percent to 41 percent, while those viewing him unfavorably rose from 36 percent Sunday to 44 percent Wednesday.  The poll, completed the day before Dukakis appeared at the convention, found little change in his favorable-unfavorable rating, 55-21.  Dukakis' 12-point lead against Bush did not mark his greatest numerical advantage in an ABC poll; the Massachusetts governor led by 53-40 in late May."," Public approval of President Bush's handling of the economy and his handling of the Iraqi invasion of Kuwait dropped in recent weeks, according to a CBS News-New York Times poll released Saturday.  Bush's 60 percent overall approval rating in the poll is the worst of his presidency, but still higher than that recorded for Presidents Reagan and Carter at the same point in their administrations.  The poll found a majority of Americans still approves of Bush's actions in the Persian Gulf, but the 57 percent approval rating is down from 75 percent soon after the invasion.  The poll found 34 percent disapproved of Bush's handling of Iraq.  Asked to rate Bush's handling of the economy, 52 percent said they disapproved and 36 percent said they approved."," President Bush has a 56 percent approval rating among blacks, a huge increase over the ratings given former President Reagan, according to a new CBS News-New York Times poll.  Only 13 percent of blacks supported Reagan at about the same point in his presidency, CBS Evening News reported Thursday.  In May 1982, Reagan had a 73 percent disapproval rating among blacks; in the current poll, 26 percent of blacks surveyed disapproved of Bush, said Kathleen A.  Frankovic, of the CBS network's polling division.  CBS-Times polls conducted during Reagan's entire time in office found he had an average 67 percent disapproval rating among blacks, Frankovic said.",18.4,71.4,64.4,49.8,66.0,57.8,69.8,20.2,55.0,72.4,50.0,37.4,29.4,24.4,,27.6,289.13463311381963,112.88072213236599,31.979926201141915,0.302479379652065,0.311520439316953,0.306999909484509
3,ap,24,TopN,"air, airlines, airline, eastern, pilots, service"," Five American airlines have been authorized to open passenger and cargo service to Tokyo and other cities in Japan, the Department of Transportation announced on Monday.  Three air carriers - United Air Lines, Delta Air Lines and American Airlines - were authorized to serve Tokyo.  Delta, America West Airlines and Hawaiian Airlines were authorized to serve two other Japanese cities, Nagoya and Fukuoka.  The route awards were granted under a November 1989 agreement which laid the foundation for a major expansion of air service between the United States and Japan.  In making the announcement the department noted that the U.","'' The order brings to 1,002 the total number of orders for the 747 series jets, making it the fourth civil airplane type in history to surpass the 1,000-mark in sales, Boeing said.  The other models are Boeing's 727 and 737 series and the McDonnell Douglas MD-80 series.  In dollar terms, the deal puts JAL in a four-way tie for fourth place among all Boeing orders with All Nippon Airways, United Airlines and Delta Airlines.  The largest Boeing order ever was made by GPA Ltd.  in May 1989, with 182 planes worth $9."," The obscure cargo airline that Eastern Airlines is counting on to keep it aloft in case of a strike faces questions about its safety record as the government decides whether it is fit to carry passengers.  Few air travelers have ever heard of Orion Air, a North Carolina cargo carrier which serves such air freight companies as United Parcel Service, Emery Air Freight and Purolator.  But if labor strife intensifies at Eastern, many of that airline's customers may find themselves with tickets to fly Orion _ and the prospect has caused federal safety officials to step up scrutiny of the airline.  Recently Eastern entered into an agreement with Orion, including the leasing of 26 of Eastern's jetliners, that call on the airline to take over much of Eastern's routes if pilots and mechanics go on strike.  Orion would fly the Eastern planes with its own pilots and ground workers, Eastern officials said."," A strike by air traffic controllers demanding better working conditions has shut down all airports in the country.  The walkout began Thursday morning and affected international flights by the Salvadoran airline Taca, the Costa Rican national airline Lacsa, the Panamanian airline Copa, Pan American World Airways and the Honduran airline Sahsa.  All domestic flights also were affected.  The Air Traffic Controllers Union is demanding a salary review, improvements in training and an overhaul of equipment."," Transportation Secretary Jim Burnley said officials have been unsatisfied with Eastern's performance since its takeover in 1986 by Texas Air Corp. , which will undergo a 30-day inspection of its operating practices.  Texas Air, which commands a fifth of the nation's air travel market, also owns Continental Airlines, which has recently absorbed Frontier Airlines, People Express and New York Air.  The government's financial probe will examine the corporation's management and business practices and the relationships between the parent and the two airlines, said B.  Wayne Vance, general counsel for the Department of Transportation.",25.8,59.4,74.2,18.8,72.4,58.0,64.0,8.2,71.0,65.8,37.0,25.8,20.4,9.4,,37.2,274.1779532181286,76.33455503055555,36.84643671001138,0.3619879984147398,0.17323020837482012,0.26760910339477995
4,ap,25,TopN,"school, students, south, student, north, korea"," A woman is suing a school district for locking her 13-year-old son in a cafeteria closet for three school days for fighting.  Frances Allison said her son, Gary DeWayne Morris, has nightmares and refuses to sleep without a light since the incident last March.  She is suing the Elmore City School district and a former principal for $100,000.  The lawsuit, filed in December, says the boy was kept in the 4-by-5-foot closet from 8:25 a. m."," The teams exchanged shirts and waved them in the air.  ``Our wish is unification,'' blared a unification song over the loudspeakers.  The game, called North-South Unification Soccer, is the high point of a five-day visit by a 78-member North Korean sports delegation, the first from the Communist north to visit the south since the 1945 division of the peninsula.  South Korean soccer players visited the north earlier this month.  That visit was only the second civilian exchange between the countries in more than four decades."," Defense Secretary Frank Carlucci today accused North Korea of trying to disrupt the Olympic Games and said the United States would beef up its military forces to stop any threat.  ``Let me assure you that we will do all we can to help ensure the security of the 1988 Summer Olympics Games,'' he said.  Communist North Korea continues to threaten peace on the divided Korean peninsula by refusing to work with South Korea to defuse the tension, Carlucci said.  ``It is most unfortunate that the north continues its trouble-making role and remains unwilling to make the simple concessions necessary to bring about a reduction in tensions on the peninsula,'' he said.  Carlucci gave the assurance to South Korean defense officials at the start of the 20th annual U."," ``The citizens ought to control their schools, the citizens ought to determine the climate in which their children learn,'' said Annemarie DuBois, union director.  ``It is not necesssary to take the public out of public education. '' The plan calls for BU to raise money from private sources and use students and faculty from its School of Education.  Other elements in the proposal raised hackles, including the university's request for an exemption from state open-meeting and open-records laws and freedom from liability if students, parents or others sue it.  The state wants those elements revised, and an amended plan was due Thursday."," Georgia schools must provide sex education courses beginning in the first grade and AIDS education beginning in the sixth grade, the state Board of Education decided Thursday.  The board approved the Quality Core Curriculum, a revision that will bring the schools into compliance with a 1988 law making sex education mandatory.  It currently is left to school districts' discretion.  The law stipulates courses must stress abstinence, although the QCC language gives school systems the option of teaching methods of contraception in grades nine through 12.  AIDS education will begin in the sixth grade with instruction on communicable diseases.",12.2,63.2,76.0,38.0,51.0,58.2,69.2,12.8,43.4,60.4,23.0,19.2,47.6,39.4,,16.4,258.2563525260894,67.23932774847881,37.74028557898738,0.09034728326736281,0.10811237764963252,0.09922983045849768
5,ap,28,TopN,"china, chinese, french, paris, france, hong"," The Communist government for the first time has allowed the family of a high-level defector to go abroad to visit him and it is considering letting him return from China, an official said Saturday.  The government official, who spoke on condition of anonymity, said the move was meant as a gesture of good will toward China before the visit of Deputy Foreign Minister Dinh Nho Liem to Beijing.  It will be Liem's third round of talks in China on the Cambodian civil war and other barriers to normalizing ties between Vietnam and China.  The Vietnamese government allowed the wife and daughter of 87-year-old defector Hoang Van Hoan _ a founding member of the Vietnamese Communist Party _ to travel to Beijing to visit him last month, the government official said.  The decision was made by the Politburo, the highest body of Vietnam's ruling Communist Party, he said."," The Marlboro man has corralled his last horse and Salem's ``springtime'' has ended on Hong Kong TV following a cigarette ad ban that began today in this British colony.  The ban is part of a growing campaign in Asia against tobacco companies, which have been accused of targeting Asia's women and children.  In a related development, Hong Kong's legislature has urged the government to ban children under the age of 15 from smoking in restaurants.  ``Smoking parties'' where a group of young people lounge around a table and chain-smoke cigarettes is a popular pastime in Hong Kong.  Hong Kong is also readying legislation to ban smoking in ferries, buses, taxis, government buildings, cinemas and theaters."," Police released Gao and Zhou, who had previously spent months in prison, after the anniversary of the June 4 crackdown had passed.  But Hou was taken out to sea, put on a Taiwanese fishing boat and returned to Taiwan.  Also Monday, China announced that another dissident arrested last summer, Wang Xuezhi, was being released from a Canton prison and allowed to go abroad to rejoin his French wife.  China appears to have concluded that exiling dissenters such as Fang and Hou serves both to ease Western criticism of China's human rights record and diminish their ability to influence opinion at home.  Those who left or escaped after the military crackdown _ people like student leader Wu'er Kaixi, political scientist Yan Jiaqi and entrepreneur Wan Runnan _ say they fear the world is gradually losing interest in China."," ...  Incidents of arrest and torture, these also continue,'' said the Dalai Lama, who won the 1989 Nobel Peace Prize for his leadership of his people.  He said he feared that ``in 15 years, if present conditions don't change, the Tibetan community will become insignificant in its own land,'' now a province of China.  About 6 million Tibetans still live in their homeland, but they are outnumbered by Chinese even in Tibet.  ``After 40 years of Chinese occupation, much of Tibet's civilization has been destroyed,'' the Dalai Lama said."," A French assault team today stormed a cave in this French Pacific territory and freed 22 gendarmes and a prosecutor held hostage by Melanesian separatists.  An official said 17 people were killed.  Bernard Pons, minister for overseas territories in the conservative government of Premier Jacques Chirac of France, said the dead included two members of the assault team and 15 kidnappers.  He also said two members of the assault team were seriously injured.  Pons said the hostages were freed after ``a particularly violent battle'' in the nearly seven-hour assault on a network of caves in Ouvea, an island off the northeast coast of New Caledonia.",16.4,58.4,52.4,37.0,57.8,50.8,57.8,15.8,49.8,58.4,40.0,49.8,38.4,33.2,,31.0,242.57365951241053,103.00608494796788,26.020933741301825,0.126994626735863,0.11611712322735669,0.12155587498160986
6,ap,30,TopN,"bank, billion, million, money, banks, financial"," The Federal Home Loan Bank Board today announced a record $1. 35 billion cash payout to shut down two insolvent savings institutions in Costa Mesa, Calif.  The bank board, which regulates 3,150 S&Ls, said it will begin on Tuesday to pay off deposits up to the insurance limit of $100,000 in the North America Savings and Loan Association and the American Diversified Savings Bank.  M.  Danny Wall, bank board chairman, said it was the largest cash payout ever for the agency."," William Seidman said Monday.  Seidman said a loss to the insurance fund, if any, would depend on how much the FDIC spends to resolve the problems of First RepublicBank of Dallas, which earlier this month received a $1 billion infusion of government aid.  The deterioration of Texas banks, hard hit by losses on real estate and energy loans, has raised concern about the health of the insurance fund, which backs deposits of up to $100,000 in 13,700 commercial banks.  Speaking at a luncheon meeting with reporters, Seidman said it is too soon to say with certainty what the cost of restoring First RepublicBank to health will be.  But, he said the $5 billion to $6 billion estimates of some are ``far higher than anything that is likely to be required."," Strauss.  First Texas Financial is the parent company of Dallas-based First Texas Savings Association and Houston-based Gibraltar Savings Association.  The plan would provide more than $250 million in private funds in return for an undetermined amount from the Federal Savings and Loan Insurance Corp. , a First Texas spokeswoman who wished to remain anonymous said Thursday.  ``I can confirm there has been an offer and that we are optimistic about it, but at this time, we don't know how much federal money is involved,'' she said."," Through the first nine months of last year, thrift institutions were troubled by what industry analysts called a ``slow-motion run'' as uncertain depositors withdrew their money.  However, after the October stock market crash, investors pulled their money out of risky stock investments and put it into insured S&L and bank acounts.  James Barth, chief economist at the bank board, said there was no obvious explanation for the May deposit drain, but he noted that commercial banks and money market mutual funds experienced a similar decline.  Bert Ely, an Alexandria, Va. , industry analyst, said S&Ls appear to be trying to resist the rise in interest rates and thus are attracting fewer deposits."," The Treasury Department announced Wednesday it was selling $2. 56 billion in 20-year bonds to the government of Mexico as part of an innovative effort to help solve that country's debt problems.  Mexico will pay $492 million in cash for the zero-coupon bonds, so-called because they are sold at a deep discount from the face amount and pay no interest until they mature.  The sale of the U. S.",29.6,77.4,67.4,35.6,74.8,64.8,73.2,1.0,62.6,79.2,27.4,16.8,15.2,8.8,,33.2,316.49722853198983,71.14671446478877,33.469674316101944,0.20995232202437053,0.17684958325798675,0.19340095264117863
7,ap,45,TopN,"jobs, workers, labor, employers, training, work"," It all depends on how wildly Californians react to the 1-in-14-million chance of winning the jackpot, which would be paid in an annuity of at least $2. 75 million before taxes for 20 years, for the cost of a $1 lotto ticket.  The size of the jackpot depends on sales and jackpot rollovers, which fuel each other to produce the heavy gambling periods dubbed lottomania.  When no one picks all six winning numbers out of a choice of 49 numbers, the jackpot is rolled over, or added, to the top prize for the next twice-weekly drawing.  Four rollovers, including a $33."," It all depends on how wildly Californians react to the 1-in-14-million chance of winning the jackpot.  ``The jackpot is going to generate an awful lot of sales,'' said Taylor.  The size of the jackpot depends on sales and jackpot rollovers, which combine to produce heavy gambling periods, dubbed ``lottomania'' when they first struck other state's games.  When nobody picks all six winning numbers out of a choice 49, the jackpot is rolled over, or added, to the top prize for the next twice-weekly drawing.  Four rollovers, including the rollover of a $33.","'' The BLS began conducting the displacement surveys in 1984 at the request of the Labor Department's Employment and Training Administration.  The latest report was released over the weekend.  While the 1984 and 1986 surveys showed 50 percent of the displaced workers coming out of factories, only 40 percent of the tenured workers losing their jobs in 1983-88 had been employed in manufacturing.  In conjunction, the distribution of the layoffs has shifted somewhat from blue-collar occupations such as machine operators, laborers and repairmen during the recession periods to white-collar management and sales occupations from 1983 to 1988.  ``This was the lean-and-mean era, when companies went after middle-level managers and other white-collar workers,'' said Mishel."," Receipts per company averaged $47,000 for black-owned companies compared to $146,000 for all businesses.  And 54 percent of black-owned firms had receipts of under $10,000.  About half of all black-owned businesses were service companies, while 16 percent were in retail trade.  By income, automobile dealers and service stations were the top black-owned business, followed by business services, health service, contractors and miscellaneous retail firms.  New York, with 28,063 businesses, has the most black-owned firms, the report said."," Here are the winning numbers picked Saturday night for the California Lottery's twice-weekly ``Lotto 6-53'' game: 9, 38, 6, 29, 7, 20, and the bonus number, 27.",13.4,75.0,82.4,27.8,66.2,52.8,67.2,3.0,58.4,67.6,15.2,23.8,34.2,21.4,,8.6,281.57052861017735,53.19872131182666,40.9184148909021,0.23638817908039364,0.15111108897105685,0.19374963402572526
8,ap,48,TopN,"san, los, angeles, california, francisco, calif"," Four-time winner Rick Swenson regained the lead Wednesday in the Iditarod Trail Sled Dog Race, while a musher miles behind him was trying to scare off curious buffaloes.  Lavon Barve and three-time champion Susan Butcher were minutes behind Swenson about a third of the way through the 1,158-mile race from Anchorage to Nome.  ``There's a lot of strong teams this year,'' said Butcher, warning that there's still plenty of time for surprises.  ``We've got a long way to go yet. '' Swenson led the race Monday topping the Alaska Range at 3,500-foot Rainy Pass, but was overtaken by defending champion Joe Runyan at Rohn on Tuesday.","'' Veterinarian Gail Hedberg was treating an abscess on the head of a 3{-ton Asian elephant named Tinkerbelle when the animal attacked her Saturday, fracturing her pelvis.  Zookeepers said Tinkerbelle did a ``handstand'' on the woman.  Hedberg was listed in stable condition today at San Francisco General Hospital.  Some officials defended practices at the San Francisco Zoo.  ``We have to use elephant hooks and other methods that may appear abusive because we're not talking about puppy dogs and pussy cats here,'' said zoo director Saul Kitchener."," The owner of two Indian elephants says he'll agree to sell the 3{-ton animals if their former owner, who apparently has been hiding the pachyderms for four years, will return them.  Richard Drake, owner of a now-closed Tehachapi, Calif. , animal farm, said Sunday he wants to get fair market value for the 27-year-old female elephants, appraised at $70,000 apiece.  Drake said he has spent ``thousands and thousands of dollars'' crisscrossing the country searching for Arlan Seidon, the man who fled with the elephants, Tory and Duchess.  Seidon, who raised the elphants from infancy, contacted The Star Ledger of Newark several weeks ago from an undisclosed location and said he would return to face charges of third-degree theft if the elephants were not given to Drake."," Susan Butcher, bundled against biting winds and subzero temperatures, widened her lead and seemed assured of an unprecedented third straight victory in the 1,150-mile Iditarod Trail Sled Dog Race.  Butcher, who left this checkpoint just as her closest competitor arrived Tuesday, was expected to cross the finish line in Nome today.  If Butcher wins, it will be the fourth consecutive year that a woman has won the 16-year-old race.  Libby Riddles of Teller won in 1985, and Butcher won in 1986 and 1987, setting a course record each year.  Butcher left Elim, 123 miles from Nome, at 5:11 p."," A veteran jockey who had planned to retire at the end of the year was killed at Belmont Park when his mount broke a leg and the man fell to the track, where he was kicked in the face by another horse.  Mike Venezia, the rider of more than 2,000 winners in more than 21,000 races since 1964, died in the fifth race on Thursday's card, officials said.  Robbie Davis, the rider of the other horse, was taken to a hospital for treatment of shock.  Venezia's mount, a 3-year-old gelding named Mr.  Walter K.",22.0,33.4,71.8,30.6,27.6,29.6,36.2,5.0,35.0,38.6,26.2,15.2,56.6,68.6,,20.2,141.82857242831082,63.8508505126505,35.65463821804334,0.46242614938926074,0.35087580396800927,0.40665097667863503
9,ap,53,TopN,"south, africa, african, government, people, mandela"," About 5,000 blacks have died in the ANC-Inkatha power struggle since 1986 in Natal Province.  The fighting spread to the Johannesburg area in August and has claimed 800 lives.  The ANC and Inkatha, the two largest black opposition movements, both oppose apartheid but differ over tactics and a future South Africa.  The socialist-oriented ANC has employed boycotts, strikes, protests and waged an armed struggle, recently suspended, in its battle against the government.  Inkatha does not endorse any of those measures and favors capitalism."," Kashmir, once a princely state, was divided between India and Pakistan after the two countries were partitioned following the end of British colonial rule in 1947.  Srinagar and the surrounding areas of the valley became part of Jammu-Kashmir.  Sixty-four percent of the state's 5 million people are Moslems, but Moslems make up 12 percent of the 880 million population nationwide.  Kashmiri militants had earlier campaigned for union with Pakistan, which claims Kashmir because of its predominant Moslem population, but the militants now demand independence and the status of a neutral country.  India has fought two wars with Pakistan over Kashmir."," The Sinhalese say it makes too many concessions to the minority, while the Tamils say it does not meet their demands for independence.  Three men were killed by police in separate incidents in which Sinhalese extremists tried to attack government property, a police spokesman said on condition of anonymity.  He said a Sinhalese Sri Lankan soldier was fatally shot in a battle with extremists in Hambantota district in the south.  In southern and central Sri Lanka, strongholds of the Sinhalese extremists, at least eight government-owned buses were set afire Thursday night and this morning, the police spokesman said.  Electricity supplies to at least four towns in southern Sri Lanka were cut Thursday night after Sinhalese extremists bew up electrical transformers, he said.","'' The OAU discussed the $12 million owed by 34 member states to the organization's fund for the support of liberation movements.  A resolution urged that the members owing money, some of which have never contributed, to clear their debts within two years ``to enable national liberation movements to intensify the armed struggle in Namibia and South Africa. '' President Moussa Traore of Mali, newly-elected chairman of the OAU, told reporters the pan-African body will continue to pursue its call for a unified front of the African National Congress, the main guerrilla movement fighting white domination in South Africa, and the much smaller Pan Africanist Congress, which are fighting South Africa's government.  Under South Africa's system of apartheid, the nation's 26 million blacks have no voice in national affairs.  The 5 million whites control the economy and maintain separate schools, districts and health services."," Police searched the home of Erhard Loeser, West Germany's acting consul-general, on Monday.  They were looking for Heinrich Grosskopf, a 24-year-old white South African accused of a car-bombing last week that killed three people.  Officials claim Grosskopf carried out that bombing and at least one other on orders from the outlawed African National Congress, the predominantly black guerrilla group fighting to end domination by South Africa's white minority.  Botha gave no reason why police decided to search Loeser's home and coupled his apology with an attack on Foreign Minister Hans-Dietrich Genscher of West Germany for suggesting a boycott of South African products as a means of protesting the apartheid racial policy.  He said the suggestion was ``callously irresponsible'' and a boycott would ``deprive people of their livelihood.",44.4,75.2,79.8,52.6,61.6,50.2,71.0,28.2,52.2,68.2,54.2,31.2,34.2,17.8,,41.2,279.47631713933004,138.9932766646761,39.62729985793676,0.378528267212252,0.143210116519799,0.26086919186602553
