arbitrary	biased	coherence	consensus	contentious	expected	insightful	meaningful	offensive	preferable	sensible	specificity	uncanny	unpredictable	confusing	age	bestlabel	birthsex	education	familiarity	gender	marital	poc	corpus	assignmentID	topicID	HITId	technique	suitable	objectionable	consensus_factor
74	61	67	82	78	67	92	69	83	71	23	32	71	64	76	26	NA	male	bachelors	1	man	married	hispanic	ap	34S9DKFK753BK7ZQQU2H2AULNF9YNA	67	3QO7EE372P1XNCLE6SBCA9W4NZPBQB	Mei et al	268.657520218031	221.477700392732	40.7197818089074
51	13	62	50	66	72	70	72	22	69	71	62	23	9	4	40	NA	female	bachelors	42	woman	married	white	ap	37UEWGM5HVMZ9ZGF7CCPX7OLHSJ1RZ	67	3QO7EE372P1XNCLE6SBCA9W4NZPBQB	Mei et al	297.318838226633	116.837086755339	24.8291352493338
84	85	93	78	92	80	85	90	88	80	79	76	80	83	84	28	NA	male	bachelors	77	man	single	natAmerican	ap	37WLF8U1WR48TH4HNYF9RRTOUB9K6R	67	3QO7EE372P1XNCLE6SBCA9W4NZPBQB	Mei et al	364.535858851935	284.319650643709	38.7334509889607
61	40	80	83	42	67	39	62	77	32	68	39	60	68	70	20	NA	female	somecollege	1	woman	single	black	ap	3CCZ6YKWR9XSTHLCEIEF9C18NLP957	67	3QO7EE372P1XNCLE6SBCA9W4NZPBQB	Mei et al	270.992724526578	177.617032522285	41.2163645138941
43	39	60	63	73	32	39	38	35	32	35	39	31	72	40	61	NA	male	graduate	5	man	divorced	white	ap	3DPNQGW4LNTNFFFE26STKA4SXPF64J	67	3QO7EE372P1XNCLE6SBCA9W4NZPBQB	Mei et al	173.074833445965	142.101381621929	31.2847104141606
2	5	94	71	42	95	81	87	1	94	91	3	52	3	5	26	NA	male	somecollege	11	man	single	black	ap	35H6S234SCE5BYJEGBB3P2A6XL765L	73	3WUVMVA7OCH1IUHDNAUT6RO2AKOZAX	Mei et al	383.535284370533	64.5104381912733	35.257372054054
1	1	90	91	13	87	86	91	1	89	90	30	1	1	7	37	NA	male	bachelors	5	man	married	white	ap	39K0FND3AJT467GNYN91M9NEF2YAMM	73	3WUVMVA7OCH1IUHDNAUT6RO2AKOZAX	Mei et al	379.899827942494	27.6934471835392	45.1890261537875
1	1	85	70	35	75	80	91	1	100	80	41	80	15	10	23	NA	male	bachelors	1	man	single	mixed	ap	3B2X28YI3YT70E0NHL2GSOAY7K4B68	73	3WUVMVA7OCH1IUHDNAUT6RO2AKOZAX	Mei et al	351.434151091471	99.3668170353171	34.7607893490673
68	75	64	75	75	69	71	72	67	69	62	62	78	50	73	28	NA	female	bachelors	50	woman	married	white	ap	3DH6GAKTY0351WD9TIDBXX1UXTHYZR	73	3WUVMVA7OCH1IUHDNAUT6RO2AKOZAX	Mei et al	288.967141503161	241.034814944783	37.2437028740007
24	7	58	12	55	54	55	58	6	27	42	31	9	11	43	55	NA	male	bachelors	82	man	single	white	ap	3TR2532VIR8DIXYZ5DFXQCTBFLCJ6S	73	3WUVMVA7OCH1IUHDNAUT6RO2AKOZAX	Mei et al	227.647061871332	65.4834997153442	5.95899245984011
